source,method,k,fingerprint,t,stage,event,certified_global_lb,validated_global_ub,provisional_local_lb,provisional_local_ub
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,152.93326304201037,mip_solve,solver_sample,543403.7731373329,,543403.7731373329,543721.23848
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,154.589064958971,mip_solve,solver_sample,543439.135073334,,543439.135073334,543620.9964400003
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,162.88160070904996,mip_solve,solver_sample,543439.135073334,,543439.135073334,543620.9964400003
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,164.1456176249776,mip_solve,solver_sample,543439.135073334,,543439.135073334,543620.9964400003
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,165.21380795899313,mip_solve,solver_sample,543439.135073334,,543439.135073334,543620.9964400003
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,166.69517891702708,mip_solve,solver_sample,543439.135073334,,543439.135073334,543620.9964400003
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,167.87344816699624,mip_solve,solver_sample,543439.135073334,,543439.135073334,543620.9964400003
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,169.28605174995027,mip_solve,solver_sample,543439.1350749995,,543439.1350749995,543560.3759839999
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,171.03537129203323,mip_solve,solver_sample,543439.1350749995,,543439.1350749995,543560.3759839999
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,172.47590820898768,mip_solve,solver_sample,543446.7126289991,,543446.7126289991,543560.3759839999
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,173.6059035420185,mip_solve,solver_sample,543446.7126289991,,543446.7126289991,543560.3759839999
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,174.8102440419607,mip_solve,solver_sample,543454.2901859997,,543454.2901859997,543560.3759839999
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,175.83674733398948,mip_solve,solver_sample,543482.6524906668,,543482.6524906668,543560.3759839999
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,1e6cda907a0242f201b4fe8ba0e8529bf01be618fd348a08f8cffb1f9d39e868,176.7588773330208,complete,trial_completed,543560.3759839999,543560.3759839999,543560.3759839999,543560.3759839999
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,20,,18.723090459010564,mip_solve,solver_sample,0.0,,-295492895.5859923,
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,20,,22.19855774997268,mip_solve,solver_sample,535935.1366400002,,535935.1366400002,535935.1366400002
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,20,da00689042c7ca7fe091cfb722c41b6b2cd599a8ab292384543b571b0c9f4cf1,22.733755707973614,complete,trial_completed,535935.1366400002,535935.1366400003,535935.1366400002,535935.1366400003
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,21,,18.94030954199843,mip_solve,solver_sample,0.0,,-311858881.4337882,
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,21,,62.073278167052194,mip_solve,solver_sample,521592.6977200002,,521592.6977200002,1183216.836472
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,21,7c89e24eaca47c1930cc985095b43eb6fc2d1ecf23325fb1238aaffc7c3e73c6,63.015652999980375,complete,trial_completed,521592.6977200003,521592.6977200003,521592.6977200003,521592.6977200003
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,21.699306750088,mip_solve,solver_sample,0.0,,-326813930.51806056,
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,97.9846161250025,mip_solve,solver_sample,503780.57016199967,,503780.57016199967,1382960.83076
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,120.67959554109257,mip_solve,solver_sample,505006.54235000047,,505006.54235000047,518565.209378
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,126.94119987508748,mip_solve,solver_sample,509093.8622906661,,509093.8622906661,514151.0784079998
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,137.45811191608664,mip_solve,solver_sample,509098.22992266604,,509098.22992266604,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,141.328324250062,mip_solve,solver_sample,510586.65983866726,,510586.65983866726,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,144.00351966603193,mip_solve,solver_sample,510703.2006054538,,510703.2006054538,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,198.58370470802765,mip_solve,solver_sample,510703.2006054538,,510703.2006054538,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,200.06745183304884,mip_solve,solver_sample,510703.2006054538,,510703.2006054538,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,202.76214916608296,mip_solve,solver_sample,510703.2006054538,,510703.2006054538,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,216.17079574998934,mip_solve,solver_sample,510719.0960159992,,510719.0960159992,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,217.58217445807531,mip_solve,solver_sample,510729.83220519917,,510729.83220519917,511771.83408799977
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,22,,219.78711841604672,mip_solve,solver_sample,510729.83220519917,,510729.83220519917,511771.83408799977
