source,bytes,classification,records
benchmarks/output/artifacts/20260513T151210Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/ean_build_artifact.json,25070973,support_or_manifest,0
benchmarks/output/artifacts/20260513T151210Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/ean_passenger_service_journey_time.json,304490,result_or_diagnostic,1
benchmarks/output/artifacts/20260513T151210Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208774,support_or_manifest,0
benchmarks/output/artifacts/20260513T151210Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,533081,support_or_manifest,0
benchmarks/output/artifacts/20260513T151210Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/artifacts/20260513T154655Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/manifest.json,3266,support_or_manifest,0
benchmarks/output/artifacts/20260513T154655Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/artifacts/20260513T154655Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_build_artifact.json,25070973,support_or_manifest,0
benchmarks/output/artifacts/20260513T154655Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,304257,result_or_diagnostic,1
benchmarks/output/artifacts/20260513T154655Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208511,support_or_manifest,0
benchmarks/output/artifacts/20260513T154655Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,534365,support_or_manifest,0
benchmarks/output/artifacts/20260513T154655Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/artifacts/20260513T155229Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/manifest.json,3266,support_or_manifest,0
benchmarks/output/artifacts/20260513T155229Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/artifacts/20260513T155229Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/ean_build_artifact.json,25070973,support_or_manifest,0
benchmarks/output/artifacts/20260513T155229Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/ean_passenger_service_journey_time.json,305245,result_or_diagnostic,1
benchmarks/output/artifacts/20260513T155229Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208483,support_or_manifest,0
benchmarks/output/artifacts/20260513T155229Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,533469,support_or_manifest,0
benchmarks/output/artifacts/20260513T155229Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/artifacts/20260722T205547Z__five_station_optimized_initial_placement_double_all_stop_skip_wait_v0__ean_passenger_journey_time__quick_good_solution__optimized_all_stop__network__all/five_station_optimized_initial_placement_double_all_stop_skip_wait_v0/discrete_dt_0p5.json,1696526,support_or_manifest,0
benchmarks/output/artifacts/20260722T205547Z__five_station_optimized_initial_placement_double_all_stop_skip_wait_v0__ean_passenger_journey_time__quick_good_solution__optimized_all_stop__network__all/five_station_optimized_initial_placement_double_all_stop_skip_wait_v0/ean_build_artifact.json,1258418971,large_support_artifact_not_loaded,
benchmarks/output/artifacts/20260722T205547Z__five_station_optimized_initial_placement_double_all_stop_skip_wait_v0__ean_passenger_journey_time__quick_good_solution__optimized_all_stop__network__all/five_station_optimized_initial_placement_double_all_stop_skip_wait_v0/ean_passenger_service_journey_time.json,506145,result_or_diagnostic,1
benchmarks/output/artifacts/20260722T205547Z__five_station_optimized_initial_placement_double_all_stop_skip_wait_v0__ean_passenger_journey_time__quick_good_solution__optimized_all_stop__network__all/five_station_optimized_initial_placement_double_all_stop_skip_wait_v0/ean_passenger_service_journey_time_movement_plan.json,422946,support_or_manifest,0
